model,k,pattern,scenario,size_iu,first_topup_min,n_topups,total_topup_iu,mean_diff_iu,mean_abs_diff_iu,worst_abs_diff_iu,worst_diff_iu,worst_diff_time_min,mean_pct_error,mean_abs_pct_error,worst_abs_pct_error,pct_of_window_within_threshold,n_evaluation_points,horizon_min
lanoiselee,0.007030324936405744,single,5000 IU at 120 min,5000.0,120.0,1,5000.0,191.48621975431018,191.48621975431018,423.32537244448577,423.32537244448577,240.0,1.7674409717188382,1.7674409717188382,4.877144639767362,100.0,49,240.0
lanoiselee,0.007030324936405744,single,10000 IU at 30 min,10000.0,30.0,1,10000.0,104.34929139669892,172.40439184222956,523.5037111381571,523.5037111381571,240.0,1.0736293631762501,1.3634280346921082,5.872888934601914,100.0,49,240.0
lanoiselee,0.007030324936405744,single,10000 IU at 60 min,10000.0,60.0,1,10000.0,95.02910112791653,157.58314437671868,479.3990819467108,479.3990819467108,240.0,0.9874541165712383,1.2558739253012494,5.096606997640988,100.0,49,240.0
lanoiselee,0.007030324936405744,single,10000 IU at 90 min,10000.0,90.0,1,10000.0,113.34676853265034,144.46422799157358,434.1954556938763,434.1954556938763,240.0,1.0131741298369605,1.1489363428095458,4.331803862963124,100.0,49,240.0
lanoiselee,0.007030324936405744,single,10000 IU at 120 min,10000.0,120.0,1,10000.0,151.3866700028859,151.3866700028859,392.25272534782744,392.25272534782744,240.0,1.1502856746168297,1.1502856746168297,3.6321653417331023,100.0,49,240.0
lanoiselee,0.007030324936405744,two_boluses,2 x 2500 IU at 60/120 min,2500.0,60.0,2,5000.0,126.00826328759118,141.8737825327877,445.11196159420615,445.11196159420615,240.0,1.2613330443728772,1.3439776141399167,5.342528929164388,100.0,49,240.0
lanoiselee,0.007030324936405744,two_boluses,2 x 5000 IU at 60/120 min,5000.0,60.0,2,10000.0,97.79560135420786,128.7978134119034,435.82590364727,435.82590364727,240.0,0.8595801664143489,1.0075056388181733,4.313899610170327,100.0,49,240.0
lanoiselee,0.007030324936405744,two_boluses,2 x 10000 IU at 60/120 min,10000.0,60.0,2,20000.0,41.370277487440966,124.32412302517277,417.25378775339595,417.25378775339595,240.0,0.3654179736689502,0.6904931168411228,3.0578082311528925,100.0,49,240.0
lanoiselee,0.007030324936405744,three_boluses,3 x 2500 IU at 45/90/135 min,2500.0,45.0,3,7500.0,109.36651726844714,130.9824040120649,441.2243664695525,441.2243664695525,240.0,0.990318468193998,1.0985503112964368,4.7712929556958805,100.0,49,240.0
lanoiselee,0.007030324936405744,three_boluses,3 x 5000 IU at 45/90/135 min,5000.0,45.0,3,15000.0,71.49100591349693,119.55185692853952,428.0507133979627,428.0507133979627,240.0,0.5601311490594949,0.7734290655555925,3.5865701642290606,100.0,49,240.0
lanoiselee,0.007030324936405744,three_boluses,3 x 10000 IU at 45/90/135 min,10000.0,45.0,3,30000.0,-4.260016796404893,131.40844592272236,401.70340725477945,401.70340725477945,240.0,0.08884137108008579,0.5548916584051702,2.320710434820536,100.0,49,240.0
meesters,0.0038579698605798007,single,2500 IU at 30 min,2500.0,30.0,1,2500.0,1099.410070055429,1402.9433409587448,2707.406748105772,2707.406748105772,240.0,5.836764907232824,6.876176375144447,16.026837365211104,38.775510204081634,49,240.0
meesters,0.0038579698605798007,single,2500 IU at 60 min,2500.0,60.0,1,2500.0,1388.0751337463405,1440.2927552517715,2679.978393373498,2679.978393373498,240.0,7.057071128236205,7.245031974646157,15.762753620337849,34.69387755102041,49,240.0
meesters,0.0038579698605798007,single,2500 IU at 90 min,2500.0,90.0,1,2500.0,1647.4533751487472,1647.4533751487472,2645.2672601571176,2645.2672601571176,240.0,8.275080802956541,8.275080802956541,15.450931610122446,24.489795918367346,49,240.0
meesters,0.0038579698605798007,single,2500 IU at 120 min,2500.0,120.0,1,2500.0,1866.1497088146116,1866.1497088146116,2602.0797806658484,2602.0797806658484,240.0,9.43242292720713,9.43242292720713,15.0851953816596,0.0,49,240.0
meesters,0.0038579698605798007,single,5000 IU at 30 min,5000.0,30.0,1,5000.0,1110.3680097623783,1461.9063177811504,2852.5582709315822,2852.5582709315822,240.0,5.54074769329991,6.664152259013068,15.716522037642905,34.69387755102041,49,240.0
meesters,0.0038579698605798007,single,5000 IU at 60 min,5000.0,60.0,1,5000.0,1378.7496748790502,1451.5392442331124,2797.7015614670418,2797.7015614670418,240.0,6.539880894107535,6.783058725349513,15.23132001745733,36.734693877551024,49,240.0
meesters,0.0038579698605798007,single,5000 IU at 90 min,5000.0,90.0,1,5000.0,1615.842683982561,1615.842683982561,2728.2792950342737,2728.2792950342737,240.0,7.507182288576195,7.507182288576195,14.664207540842177,26.53061224489796,49,240.0
meesters,0.0038579698605798007,single,5000 IU at 120 min,5000.0,120.0,1,5000.0,1810.7221010552817,1810.7221010552817,2641.9043360517408,2641.9043360517408,240.0,8.390094091452877,8.390094091452877,14.006043259118826,0.0,49,240.0
